PrimaryId,Company,Team_Leader_Id,Emp_Id,Employee Name,Designation,DesignationGroup,Department,Zone,Client Id,ClientEmp_Id,Client_Name,Client Type,Client Type Group,Client_Type1,State,City,Source_Id,SourceEmp_Id,SourceName,SourceCode,SourceType,SourceTypeGroup,CustomSourceId,Order_Id,Product_Id,Variant_Id,OrderDate,Order Amount,Remaining Amount,QuotationID,DiscountType,OrderSystemDate,Product Name,ProductDivision,Variant_Name,Unit Price,MRP,ProductGST,Category Type,Total Discount,Order Products Date,Product_Category,Product_Code,Sale Price
880877,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45762.4848608796,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
967569,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45762.6319853009,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
1045597,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282618,418387,819430,5/31/2024,1616.99,1616.99,21282616,Fixed,45763.6581306713,Ajwain Cookies 200G*6,BigPacking,Ajwain Cookies 200G*6 - FG002180,46.61,55,18,Regular,27.97,45443,AJWAIN COOKIES,19059020,279.66
155445,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45733.6889049421,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
206640,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45734.5085240394,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
301697,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45734.6794542014,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
370832,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45734.7999868056,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
417960,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45736.489987581,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
554285,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45740.7084454514,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
596077,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45742.6493364931,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
